<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
152677_090101_130416,D,20121219,000000,317.0000000,317.7000000,315.0000000,317.5000000,230
152677_090101_130416,D,20121220,000000,318.0000000,318.0000000,318.0000000,318.0000000,10
152677_090101_130416,D,20121221,000000,317.0000000,318.7500000,316.8000000,318.7500000,110
152677_090101_130416,D,20121224,000000,310.0000000,317.0000000,310.0000000,317.0000000,470
152677_090101_130416,D,20121225,000000,317.0000000,317.0000000,317.0000000,317.0000000,550
152677_090101_130416,D,20121228,000000,316.9900000,316.9900000,316.9900000,316.9900000,550
152677_090101_130416,D,20130109,000000,316.9900000,317.0000000,316.9900000,317.0000000,360
152677_090101_130416,D,20130111,000000,317.0000000,317.0000000,317.0000000,317.0000000,30
152677_090101_130416,D,20130114,000000,317.0000000,317.0000000,317.0000000,317.0000000,40
152677_090101_130416,D,20130115,000000,317.0000000,317.0000000,317.0000000,317.0000000,40
152677_090101_130416,D,20130116,000000,317.0000000,317.0000000,316.9900000,316.9900000,40
152677_090101_130416,D,20130118,000000,317.0000000,317.0000000,316.9900000,316.9900000,170
152677_090101_130416,D,20130121,000000,317.0000000,317.0000000,317.0000000,317.0000000,530
152677_090101_130416,D,20130122,000000,317.0000000,317.0000000,317.0000000,317.0000000,10
152677_090101_130416,D,20130124,000000,318.0700000,319.2000000,317.6000000,319.0000000,1.050
152677_090101_130416,D,20130125,000000,317.0100000,320.0000000,317.0000000,319.0000000,1.950
152677_090101_130416,D,20130128,000000,431.2000000,431.2000000,317.2700000,318.2000000,2.340
152677_090101_130416,D,20130129,000000,317.0700000,319.5900000,315.0000000,318.8000000,2.140
152677_090101_130416,D,20130130,000000,317.5600000,318.9000000,317.4800000,318.9000000,1.360
152677_090101_130416,D,20130131,000000,318.7700000,319.1600000,315.0000000,319.1600000,3.190
152677_090101_130416,D,20130201,000000,319.8000000,320.6200000,315.0000000,320.6200000,3.590
152677_090101_130416,D,20130204,000000,316.5000000,316.5000000,310.0000000,316.4900000,3.200
152677_090101_130416,D,20130205,000000,317.0000000,324.0000000,317.0000000,323.0000000,1.820
152677_090101_130416,D,20130206,000000,327.0000000,328.9200000,326.4900000,328.8600000,1.750
152677_090101_130416,D,20130207,000000,326.0000000,341.1100000,326.0000000,341.1100000,3.340
152677_090101_130416,D,20130208,000000,336.0000000,345.1300000,336.0000000,345.0000000,1.010
152677_090101_130416,D,20130211,000000,330.2100000,350.4600000,330.2100000,350.4600000,2.930
152677_090101_130416,D,20130212,000000,345.0000000,353.2700000,345.0000000,353.2700000,3.080
152677_090101_130416,D,20130213,000000,349.0000000,352.2000000,345.2800000,347.2500000,1.900
152677_090101_130416,D,20130214,000000,349.0000000,354.8600000,345.1000000,353.0000000,2.790
152677_090101_130416,D,20130215,000000,349.0000000,365.4500000,349.0000000,365.4500000,4.040
152677_090101_130416,D,20130218,000000,349.0000000,373.0000000,349.0000000,373.0000000,5.180
152677_090101_130416,D,20130219,000000,372.6000000,376.4700000,372.5900000,376.4700000,4.990
152677_090101_130416,D,20130220,000000,374.0000000,385.5600000,374.0000000,385.5600000,6.170
152677_090101_130416,D,20130221,000000,388.0000000,402.0700000,388.0000000,398.0000000,5.330
152677_090101_130416,D,20130222,000000,393.0000000,401.9700000,385.0200000,390.7500000,5.380
152677_090101_130416,D,20130225,000000,393.0000000,405.0000000,393.0000000,405.0000000,4.180
152677_090101_130416,D,20130226,000000,402.0400000,408.9300000,400.0000000,408.9300000,4.030
152677_090101_130416,D,20130227,000000,415.0000000,450.0000000,401.0000000,411.6100000,5.290
152677_090101_130416,D,20130228,000000,410.9900000,412.9300000,400.0000000,412.9300000,4.880
152677_090101_130416,D,20130301,000000,407.2200000,417.1200000,396.8200000,401.0000000,4.070
152677_090101_130416,D,20130304,000000,407.0000000,407.0000000,390.7100000,394.8500000,5.930
152677_090101_130416,D,20130305,000000,396.8000000,396.8000000,372.5900000,378.6200000,5.310
152677_090101_130416,D,20130306,000000,375.0000000,379.9600000,368.2600000,369.6200000,5.180
152677_090101_130416,D,20130307,000000,372.6000000,375.6500000,372.5900000,375.6500000,10.090
152677_090101_130416,D,20130311,000000,377.0000000,387.0000000,374.7900000,387.0000000,7.180
152677_090101_130416,D,20130312,000000,381.0000000,387.1600000,381.0000000,383.6900000,8.010
152677_090101_130416,D,20130313,000000,385.6000000,388.0000000,380.1800000,387.0000000,7.860
152677_090101_130416,D,20130314,000000,388.8800000,402.7000000,385.0000000,402.7000000,8.810
152677_090101_130416,D,20130315,000000,408.2600000,416.2500000,402.0000000,416.2500000,6.990
152677_090101_130416,D,20130318,000000,422.0000000,423.0000000,396.8100000,412.5000000,5.970
152677_090101_130416,D,20130319,000000,415.0000000,435.9900000,406.1400000,435.9900000,11.010
152677_090101_130416,D,20130320,000000,433.0000000,440.0000000,424.0000000,440.0000000,4.040
152677_090101_130416,D,20130321,000000,440.4400000,440.4400000,436.0400000,440.2200000,2.810
152677_090101_130416,D,20130322,000000,440.6600000,441.1500000,438.9500000,440.6600000,3.480
152677_090101_130416,D,20130325,000000,441.1000000,450.8000000,441.1000000,450.8000000,3.560
152677_090101_130416,D,20130326,000000,451.2500000,451.2500000,448.5500000,448.5500000,2.140
152677_090101_130416,D,20130327,000000,448.1000000,476.0300000,448.1000000,476.0300000,11.090
152677_090101_130416,D,20130328,000000,475.5500000,479.8200000,472.2200000,476.0100000,3.670
152677_090101_130416,D,20130329,000000,476.4900000,482.5800000,467.4400000,475.0000000,1.870
152677_090101_130416,D,20130401,000000,474.5200000,474.5200000,459.4300000,459.4300000,1.520
152677_090101_130416,D,20130402,000000,459.8900000,461.2700000,449.7800000,455.9800000,1.900
152677_090101_130416,D,20130403,000000,455.5200000,455.7600000,448.6800000,448.8400000,2.070
