<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20999_090101_130416,D,20090130,000000,18.0000000,18.0000000,18.0000000,18.0000000,300
20999_090101_130416,D,20090202,000000,20.0000000,20.0000000,20.0000000,20.0000000,18
20999_090101_130416,D,20090205,000000,20.0000000,20.0000000,20.0000000,20.0000000,1
20999_090101_130416,D,20090206,000000,20.0000000,20.0000000,20.0000000,20.0000000,10
20999_090101_130416,D,20090209,000000,20.0000000,25.0000000,20.0000000,25.0000000,2.506
20999_090101_130416,D,20090211,000000,20.0000000,23.0000000,19.0000000,23.0000000,17.431
20999_090101_130416,D,20090212,000000,23.0000000,23.0000000,23.0000000,23.0000000,648
20999_090101_130416,D,20090217,000000,23.0000000,23.0000000,23.0000000,23.0000000,1
20999_090101_130416,D,20090220,000000,23.0000000,23.0000000,23.0000000,23.0000000,5
20999_090101_130416,D,20090224,000000,23.0000000,23.0000000,23.0000000,23.0000000,2
20999_090101_130416,D,20090225,000000,23.0000000,23.0000000,23.0000000,23.0000000,16
20999_090101_130416,D,20090227,000000,23.0000000,23.0000000,23.0000000,23.0000000,8
20999_090101_130416,D,20090303,000000,20.0000000,20.0000000,20.0000000,20.0000000,111
20999_090101_130416,D,20090304,000000,20.0000000,20.0000000,20.0000000,20.0000000,565
20999_090101_130416,D,20090305,000000,21.0000000,21.0000000,21.0000000,21.0000000,20
20999_090101_130416,D,20090310,000000,21.0000000,21.0000000,21.0000000,21.0000000,115
20999_090101_130416,D,20090311,000000,21.0000000,22.0000000,21.0000000,22.0000000,147
20999_090101_130416,D,20090312,000000,22.0000000,22.0000000,22.0000000,22.0000000,2
20999_090101_130416,D,20090317,000000,20.0000000,20.0000000,19.5000000,19.5000000,2.402
20999_090101_130416,D,20090318,000000,20.0000000,20.0000000,17.0000000,17.0000000,335
20999_090101_130416,D,20090319,000000,20.0000000,20.0000000,18.5000000,18.5000000,2.027
20999_090101_130416,D,20090320,000000,18.5000000,18.5000000,17.0000000,18.5000000,5.683
20999_090101_130416,D,20090323,000000,17.5000000,17.5000000,17.5000000,17.5000000,10
20999_090101_130416,D,20090324,000000,18.5000000,18.5000000,18.0000000,18.0000000,1.017
20999_090101_130416,D,20090326,000000,17.0000000,17.0000000,17.0000000,17.0000000,1.990
20999_090101_130416,D,20090327,000000,17.6000000,17.6000000,17.6000000,17.6000000,9
20999_090101_130416,D,20090330,000000,16.0000000,16.0000000,14.5000000,15.0000000,5.707
20999_090101_130416,D,20090331,000000,16.9800000,16.9800000,15.0000000,15.0000000,1.410
20999_090101_130416,D,20090401,000000,15.0000000,15.0000000,15.0000000,15.0000000,27.431
20999_090101_130416,D,20090402,000000,16.7900000,16.9900000,15.0100000,16.9900000,3.665
20999_090101_130416,D,20090403,000000,16.5900000,18.0000000,16.5500000,18.0000000,2.781
20999_090101_130416,D,20090406,000000,16.9900000,18.0000000,15.0000000,15.0000000,6.816
20999_090101_130416,D,20090407,000000,16.0100000,16.0100000,16.0000000,16.0000000,100
20999_090101_130416,D,20090408,000000,17.5000000,20.0000000,17.5000000,19.9800000,9.068
20999_090101_130416,D,20090409,000000,18.1100000,20.0300000,18.0000000,20.0300000,4.554
20999_090101_130416,D,20090410,000000,20.0300000,21.0000000,19.4900000,20.0000000,12.228
20999_090101_130416,D,20090413,000000,20.0000000,23.0000000,20.0000000,20.8000000,16.070
20999_090101_130416,D,20090414,000000,21.9900000,23.5000000,21.0000000,21.0000000,13.792
20999_090101_130416,D,20090415,000000,21.0000000,22.0000000,16.5000000,17.2000000,152.780
20999_090101_130416,D,20090416,000000,17.5100000,19.4800000,17.5100000,18.0000000,33.055
20999_090101_130416,D,20090417,000000,18.9900000,19.0000000,17.7400000,18.5400000,36.056
20999_090101_130416,D,20090420,000000,18.9900000,18.9900000,16.9900000,18.0000000,66.271
20999_090101_130416,D,20090421,000000,18.4900000,18.5000000,17.3000000,18.5000000,8.993
20999_090101_130416,D,20090422,000000,18.5000000,18.6500000,17.5200000,18.0000000,3.358
20999_090101_130416,D,20090423,000000,18.4900000,18.5000000,17.3000000,17.9900000,90.990
20999_090101_130416,D,20090424,000000,17.0100000,18.5000000,16.6000000,18.5000000,56.389
20999_090101_130416,D,20090427,000000,18.6100000,19.0300000,18.0400000,19.0000000,26.972
20999_090101_130416,D,20090428,000000,18.0200000,23.0000000,17.8400000,21.6900000,58.464
20999_090101_130416,D,20090429,000000,21.7000000,21.7000000,19.1600000,20.3000000,12.119
20999_090101_130416,D,20090430,000000,20.4000000,20.5000000,19.9500000,20.5000000,8.744
20999_090101_130416,D,20090504,000000,21.9800000,24.0000000,21.5100000,23.2200000,189.262
20999_090101_130416,D,20090505,000000,22.7500000,26.6500000,21.1300000,22.8500000,558.474
20999_090101_130416,D,20090506,000000,23.0000000,28.2500000,22.8900000,28.2000000,405.045
20999_090101_130416,D,20090507,000000,28.2000000,29.6000000,23.0300000,24.0000000,149.022
20999_090101_130416,D,20090508,000000,25.4700000,29.5900000,21.0000000,27.7800000,326.784
20999_090101_130416,D,20090512,000000,27.2000000,28.5000000,26.0100000,26.5000000,130.459
20999_090101_130416,D,20090513,000000,26.5600000,28.0300000,22.8100000,24.6900000,65.656
20999_090101_130416,D,20090514,000000,23.0000000,26.0000000,22.3300000,24.5000000,9.070
20999_090101_130416,D,20090515,000000,25.0000000,26.0000000,23.9000000,24.9700000,2.627
20999_090101_130416,D,20090518,000000,24.9700000,25.5000000,23.4300000,25.2000000,37.328
20999_090101_130416,D,20090519,000000,25.6000000,25.9700000,23.5000000,24.7200000,21.107
20999_090101_130416,D,20090520,000000,24.4000000,25.5000000,24.0100000,25.4800000,39.790
20999_090101_130416,D,20090521,000000,25.7000000,25.8000000,24.3100000,25.3300000,37.492
20999_090101_130416,D,20090522,000000,25.2700000,35.4800000,25.0000000,35.4800000,478.192
20999_090101_130416,D,20090525,000000,38.7900000,49.6700000,36.0000000,49.6700000,856.690
20999_090101_130416,D,20090526,000000,50.0000000,63.7000000,44.8300000,51.0000000,1.360.356
20999_090101_130416,D,20090527,000000,53.4000000,60.9500000,38.5600000,43.0000000,1.426.061
20999_090101_130416,D,20090528,000000,43.0000000,59.8000000,40.0200000,58.0000000,1.206.126
20999_090101_130416,D,20090529,000000,58.1500000,67.0000000,53.1100000,58.7800000,1.013.238
20999_090101_130416,D,20090601,000000,58.9000000,59.5000000,51.0800000,53.0000000,558.320
20999_090101_130416,D,20090602,000000,52.7000000,54.4700000,46.0000000,47.1400000,528.329
20999_090101_130416,D,20090603,000000,47.2000000,48.4900000,40.1000000,40.7600000,329.504
20999_090101_130416,D,20090604,000000,40.0000000,43.4000000,37.0200000,41.6900000,181.921
20999_090101_130416,D,20090605,000000,42.9000000,49.9000000,39.4900000,45.8000000,551.085
20999_090101_130416,D,20090608,000000,43.2100000,45.5600000,42.2200000,43.7800000,76.044
20999_090101_130416,D,20090609,000000,44.9000000,44.9000000,41.0000000,42.7000000,77.096
20999_090101_130416,D,20090610,000000,43.2100000,44.6000000,41.0100000,42.9000000,68.746
20999_090101_130416,D,20090611,000000,42.5000000,43.5000000,40.3200000,43.2000000,89.092
20999_090101_130416,D,20090615,000000,41.5000000,42.8600000,40.0500000,40.8100000,37.114
20999_090101_130416,D,20090616,000000,41.9000000,41.9000000,38.0000000,40.0000000,131.858
20999_090101_130416,D,20090617,000000,40.0000000,41.4800000,38.4100000,39.2300000,38.973
20999_090101_130416,D,20090618,000000,39.7700000,40.0000000,36.0000000,37.5000000,48.112
