<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
74745_090101_130416,D,20110111,000000,3.185.0000000,3.185.0000000,3.185.0000000,3.185.0000000,11
74745_090101_130416,D,20110112,000000,2.800.0000000,3.999.9700000,2.800.0000000,3.121.0000000,224
74745_090101_130416,D,20110113,000000,3.649.0000000,3.649.0000000,2.200.0700000,2.589.9800000,260
74745_090101_130416,D,20110114,000000,2.499.9900000,2.800.0000000,2.400.0000000,2.459.9900000,126
74745_090101_130416,D,20110117,000000,2.300.0000000,2.300.0000000,2.100.0100000,2.259.9900000,12
74745_090101_130416,D,20110118,000000,2.260.0100000,2.262.0000000,2.220.0300000,2.249.9900000,5
74745_090101_130416,D,20110119,000000,2.149.9700000,2.149.9700000,2.050.0500000,2.050.0500000,4
74745_090101_130416,D,20110120,000000,2.050.0400000,2.149.9800000,2.000.0000000,2.100.0000000,59
74745_090101_130416,D,20110121,000000,2.050.0000000,2.050.0000000,1.905.0100000,1.905.0100000,46
74745_090101_130416,D,20110124,000000,1.999.9900000,2.400.0000000,1.999.9900000,2.170.0000000,70
74745_090101_130416,D,20110125,000000,2.020.0900000,2.020.0900000,2.020.0000000,2.020.0000000,14
74745_090101_130416,D,20110126,000000,2.002.9900000,2.070.0000000,1.950.0000000,2.070.0000000,43
74745_090101_130416,D,20110127,000000,1.975.0100000,1.975.0100000,1.975.0100000,1.975.0100000,1
74745_090101_130416,D,20110131,000000,2.000.0400000,2.040.0100000,1.945.0000000,2.040.0100000,29
74745_090101_130416,D,20110201,000000,1.970.0600000,1.970.0600000,1.950.0100000,1.950.0100000,10
74745_090101_130416,D,20110202,000000,1.900.0300000,1.900.0300000,1.900.0000000,1.900.0200000,25
74745_090101_130416,D,20110203,000000,1.979.9700000,1.989.9600000,1.979.9700000,1.989.9600000,4
74745_090101_130416,D,20110209,000000,1.500.0000000,1.768.0000000,1.333.3900000,1.768.0000000,36
74745_090101_130416,D,20110210,000000,1.888.0000000,2.379.0000000,1.412.0000000,1.507.7700000,48
74745_090101_130416,D,20110211,000000,1.622.2200000,1.622.2200000,1.622.2200000,1.622.2200000,1
74745_090101_130416,D,20110215,000000,1.390.0100000,1.600.0000000,1.390.0100000,1.600.0000000,2
74745_090101_130416,D,20110216,000000,1.954.7200000,1.954.7200000,1.435.1500000,1.435.1500000,10
74745_090101_130416,D,20110217,000000,1.998.8400000,2.000.0000000,1.500.1000000,1.887.0400000,46
74745_090101_130416,D,20110221,000000,1.800.8000000,1.899.9800000,1.800.8000000,1.888.8800000,3
74745_090101_130416,D,20110225,000000,1.750.2000000,1.750.2100000,1.750.2000000,1.750.2100000,7
74745_090101_130416,D,20110228,000000,1.700.0000000,1.750.0000000,1.700.0000000,1.750.0000000,6
74745_090101_130416,D,20110301,000000,1.898.8000000,1.898.9000000,1.898.8000000,1.898.9000000,2
74745_090101_130416,D,20110302,000000,1.899.0000000,1.899.0000000,1.810.3000000,1.810.3000000,2
74745_090101_130416,D,20110303,000000,1.800.2000000,1.900.0000000,1.800.0000000,1.899.9000000,9
74745_090101_130416,D,20110304,000000,1.900.0000000,1.999.8000000,1.700.7000000,1.999.8000000,11
74745_090101_130416,D,20110309,000000,1.723.6000000,1.723.6000000,1.723.6000000,1.723.6000000,1
74745_090101_130416,D,20110311,000000,1.994.3000000,1.994.3000000,1.994.3000000,1.994.3000000,1
74745_090101_130416,D,20110318,000000,1.888.7000000,1.888.7000000,1.560.0000000,1.560.0000000,5
74745_090101_130416,D,20110321,000000,1.888.7000000,2.184.0000000,1.625.0000000,2.184.0000000,66
74745_090101_130416,D,20110322,000000,1.725.0000000,2.468.0000000,1.725.0000000,2.000.1000000,75
74745_090101_130416,D,20110323,000000,2.468.5000000,2.468.5000000,2.299.9000000,2.340.0000000,20
74745_090101_130416,D,20110324,000000,2.390.0000000,2.400.0000000,2.006.0000000,2.006.0000000,49
74745_090101_130416,D,20110325,000000,2.299.7000000,2.299.7000000,1.710.0000000,1.814.0000000,43
